country,district_code,district,centx,centy,year,month,ipc,ha,ndvi_mean,ndvi_anom,rain_mean,rain_anom,et_mean,et_anom,count_violence,sum_fatalities,food_price_idx,area,cropland_pct,pop,ruggedness_mean,pasture_pct,date,province,administrative_region,quarters
South Sudan,74,Bor,32.00486,6.465644,2019,10,3.0,0.0,0.6661006,109.9934,27.90769,10.56164,26.16527,7.639943,1,1,65.85496,14008.33,7.961984,162438.0,11393.76,90.8503,2019-10-01,Greater Upper Nile,Greater Upper Nile,2019Q4
South Sudan,74,Bor,32.00486,6.465644,2020,2,3.0,0.0,0.3331781,129.7784,0.8581545,-0.02670733,2.213379,1.626268,2,0,74.82722,14008.33,7.961984,285097.4,11393.76,90.8503,2020-02-01,Greater Upper Nile,Greater Upper Nile,2020Q1
South Sudan,104,Pibor,33.5681,6.396368,2009,7,2.0,,0.5224379,82.54717,13.88613,-13.34564,13.34556,-8.117531,0,0,1.040617,33147.44,28.63814,173079.0,23095.27,80.77062,2009-07-01,Greater Upper Nile,Greater Upper Nile,2009Q3
South Sudan,104,Pibor,33.5681,6.396368,2009,10,2.0,,0.5717539,93.99007,13.43366,-5.235549,16.15728,-3.200017,0,0,1.079097,33147.44,28.63814,173079.0,23095.27,80.77062,2009-10-01,Greater Upper Nile,Greater Upper Nile,2009Q4
South Sudan,104,Pibor,33.5681,6.396368,2010,1,2.0,,0.2999474,93.4807,1.25786,-0.01321415,1.855644,-0.1497949,0,0,1.080883,33147.44,28.63814,178920.0,23095.27,80.77062,2010-01-01,Greater Upper Nile,Greater Upper Nile,2010Q1
South Sudan,104,Pibor,33.5681,6.396368,2010,4,2.0,,0.3059848,87.5315,9.264309,-3.877378,6.051482,-2.406648,0,0,1.13584,33147.44,28.63814,178920.0,23095.27,80.77062,2010-04-01,Greater Upper Nile,Greater Upper Nile,2010Q2
South Sudan,104,Pibor,33.5681,6.396368,2010,7,2.0,,0.5674207,89.65462,32.45687,5.225103,17.74296,-3.720128,0,0,1.169021,33147.44,28.63814,178920.0,23095.27,80.77062,2010-07-01,Greater Upper Nile,Greater Upper Nile,2010Q3
South Sudan,104,Pibor,33.5681,6.396368,2010,10,2.0,,0.64197,105.5328,18.61727,-0.05194472,20.98224,1.624948,1,0,1.189006,33147.44,28.63814,178920.0,23095.27,80.77062,2010-10-01,Greater Upper Nile,Greater Upper Nile,2010Q4
South Sudan,104,Pibor,33.5681,6.396368,2011,1,2.0,,0.301428,93.94214,0.826538,-0.4445359,1.72553,-0.2799097,0,0,1.252705,33147.44,28.63814,183131.0,23095.27,80.77062,2011-01-01,Greater Upper Nile,Greater Upper Nile,2011Q1
South Sudan,104,Pibor,33.5681,6.396368,2011,4,2.0,,0.3023298,86.48591,11.74481,-1.396879,11.19793,2.739801,7,200,1.33744,33147.44,28.63814,183131.0,23095.27,80.77062,2011-04-01,Greater Upper Nile,Greater Upper Nile,2011Q2
South Sudan,104,Pibor,33.5681,6.396368,2011,7,2.0,,0.6812135,107.6343,36.1755,8.943735,26.11284,4.649744,2,0,1.50882,33147.44,28.63814,183131.0,23095.27,80.77062,2011-07-01,Greater Upper Nile,Greater Upper Nile,2011Q3
South Sudan,104,Pibor,33.5681,6.396368,2011,10,3.0,,0.6558282,107.811,20.72519,2.055976,26.12758,6.770289,0,0,1.815154,33147.44,28.63814,183131.0,23095.27,80.77062,2011-10-01,Greater Upper Nile,Greater Upper Nile,2011Q4
South Sudan,104,Pibor,33.5681,6.396368,2012,1,3.0,,0.3594159,112.0145,0.7238488,-0.5472251,1.523825,-0.4816142,5,2394,1.973714,33147.44,28.63814,187342.0,23095.27,80.77062,2012-01-01,Greater Upper Nile,Greater Upper Nile,2012Q1
South Sudan,104,Pibor,33.5681,6.396368,2012,4,3.0,1.0,0.3090122,88.39752,12.25079,-0.8908973,7.69415,-0.7639805,0,0,2.107357,33147.44,28.63814,187342.0,23095.27,80.77062,2012-04-01,Greater Upper Nile,Greater Upper Nile,2012Q2
South Sudan,104,Pibor,33.5681,6.396368,2012,7,3.0,1.0,0.719428,113.6724,42.14035,14.90859,32.28742,10.82433,1,0,2.186654,33147.44,28.63814,187342.0,23095.27,80.77062,2012-07-01,Greater Upper Nile,Greater Upper Nile,2012Q3
South Sudan,104,Pibor,33.5681,6.396368,2012,10,3.0,0.0,0.6505596,106.9449,22.13666,3.467444,26.07086,6.713562,1,0,2.3142,33147.44,28.63814,187342.0,23095.27,80.77062,2012-10-01,Greater Upper Nile,Greater Upper Nile,2012Q4
South Sudan,104,Pibor,33.5681,6.396368,2013,1,3.0,0.0,0.4381195,136.543,1.109045,-0.1620286,6.750865,4.745426,2,5,2.118269,33147.44,28.63814,191553.0,23095.27,80.77062,2013-01-01,Greater Upper Nile,Greater Upper Nile,2013Q1
South Sudan,104,Pibor,33.5681,6.396368,2013,4,3.0,0.0,0.3646051,104.3007,11.45938,-1.682309,6.931498,-1.526632,7,30,2.020315,33147.44,28.63814,191553.0,23095.27,80.77062,2013-04-01,Greater Upper Nile,Greater Upper Nile,2013Q2
South Sudan,104,Pibor,33.5681,6.396368,2013,7,3.0,0.0,0.6818577,107.7361,37.86442,10.63265,22.84748,1.384385,21,350,2.058158,33147.44,28.63814,191553.0,23095.27,80.77062,2013-07-01,Greater Upper Nile,Greater Upper Nile,2013Q3
South Sudan,104,Pibor,33.5681,6.396368,2013,10,3.0,0.0,0.6580855,108.1821,21.10186,2.432651,25.65325,6.29596,1,0,2.035442,33147.44,28.63814,191553.0,23095.27,80.77062,2013-10-01,Greater Upper Nile,Greater Upper Nile,2013Q4
South Sudan,104,Pibor,33.5681,6.396368,2014,1,3.0,0.0,0.3244305,101.111,0.809996,-0.4610779,2.253866,0.248427,0,0,2.216806,33147.44,28.63814,195764.0,23095.27,80.77062,2014-01-01,Greater Upper Nile,Greater Upper Nile,2014Q1
South Sudan,104,Pibor,33.5681,6.396368,2014,4,3.0,0.0,0.3884016,111.108,15.4309,2.289216,12.64295,4.184825,0,0,2.205115,33147.44,28.63814,195764.0,23095.27,80.77062,2014-04-01,Greater Upper Nile,Greater Upper Nile,2014Q2
South Sudan,104,Pibor,33.5681,6.396368,2014,7,3.0,0.0,0.6668466,105.3643,22.37188,-4.859893,24.87944,3.41635,0,0,2.338503,33147.44,28.63814,195764.0,23095.27,80.77062,2014-07-01,Greater Upper Nile,Greater Upper Nile,2014Q3
